Chuột sa hũ gạo.
( Sưu tầm & chuyển thể thành thơ )

Có một con chuột nhỏ
Không may, bị trượt chân
Sa vào trong hũ gạo
Lượng gạo còn nửa phần.

Sự cố ngoài ý muốn
Nhưng chú mừng khôn tả
Vì không hề nguy hiểm
Lại được ăn, thế là...

Chú bắt đầu cuộc sống
Hết ăn rồi lại ngủ
Ngủ dậy, tiếp tục ăn
Trong hũ gạo tối mù.

Rất mau, và rất mau
Hũ gạo cũng cạn dần
Nhưng chuột đâu nhận thấy
Nguy nan đang rất gần.

Cuối cùng gạo cũng hết
Chú nhận ra sai lầm
Cố gắng nhảy ra ngoài
Nhưng lực bất tỏng tâm.

Tác giả: Hạ Phong
Admin: Hạ Phong
